effective_time,spl_product_data_elements,active_ingredient,route,brand_name,substance_name,Time,Year,num_substance
20200117,"['SOLMATE Broad Spectrum SPF 4 Avobenzone, Octocrylene and Oxybenzone ALKYL (C12-15) BENZOATE ALCOHOL AVOBENZONE AVOBENZONE OCTOCRYLENE OCTOCRYLENE OXYBENZONE OXYBENZONE']","['SOLMATE Broad Spectrum SPF 4 Avobenzone, Octocrylene and Oxybenzone ALKYL (C12-15) BENZOATE ALCOHOL AVOBENZONE AVOBENZONE OCTOCRYLENE OCTOCRYLENE OXYBENZONE OXYBENZONE']",['TOPICAL'],['SOLMATE Broad Spectrum SPF 4'],"['AVOBENZONE', 'OCTOCRYLENE', 'OXYBENZONE']",2020-01-17,2020,3.0
20200101,"['Malathion Malathion ISOPROPYL ALCOHOL TERPINEOL LIMONENE, (+/-)- PINE NEEDLE OIL (PINUS SYLVESTRIS) MALATHION MALATHION']",None,['TOPICAL'],['Malathion'],['MALATHION'],2020-01-01,2020,1.0
20201204,"['Sleep Aid Nighttime Diphenhydramine HCl DIPHENHYDRAMINE HYDROCHLORIDE DIPHENHYDRAMINE FD&C BLUE NO. 1 GELATIN GLYCERIN POLYETHYLENE GLYCOL, UNSPECIFIED PROPYLENE GLYCOL WATER SORBITOL SORBITAN P50;A99;D50;AP018']","['Sleep Aid Nighttime Diphenhydramine HCl DIPHENHYDRAMINE HYDROCHLORIDE DIPHENHYDRAMINE FD&C BLUE NO. 1 GELATIN GLYCERIN POLYETHYLENE GLYCOL, UNSPECIFIED PROPYLENE GLYCOL WATER SORBITOL SORBITAN P50;A99;D50;AP018']",['ORAL'],['Sleep Aid Nighttime'],['DIPHENHYDRAMINE HYDROCHLORIDE'],2020-12-04,2020,1.0
20200507,"['Penicillin V Potassium Penicillin V Potassium POVIDONE K90 CELLULOSE, MICROCRYSTALLINE TALC SILICON DIOXIDE MAGNESIUM STEARATE HYPROMELLOSE 2910 (6 MPA.S) POLYETHYLENE GLYCOL 400 TITANIUM DIOXIDE PENICILLIN V POTASSIUM PENICILLIN V White to Off-white E;8;5']",None,,,,2020-05-07,2020,0
20200508,"['Hand Sanitizer ETHYL ALCOHOL TROLAMINE ALOE VERA LEAF GLYCERIN CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE WATER ALCOHOL ALCOHOL']","['Hand Sanitizer ETHYL ALCOHOL TROLAMINE ALOE VERA LEAF GLYCERIN CARBOMER HOMOPOLYMER, UNSPECIFIED TYPE WATER ALCOHOL ALCOHOL']",['TOPICAL'],['Hand Sanitizer'],['ALCOHOL'],2020-05-08,2020,1
20181026,"['STOOL SOFTENER DOCUSATE SODIUM DOCUSATE SODIUM DOCUSATE D&C RED NO. 33 D&C YELLOW NO. 10 FD&C BLUE NO. 1 FD&C RED NO. 40 FD&C YELLOW NO. 6 GELATIN GLYCERIN EGG PHOSPHOLIPIDS MEDIUM-CHAIN TRIGLYCERIDES POLYETHYLENE GLYCOL, UNSPECIFIED PROPYLENE GLYCOL WATER SORBITAN SORBITOL TITANIUM DIOXIDE P10;S78;SCU2']","['STOOL SOFTENER DOCUSATE SODIUM DOCUSATE SODIUM DOCUSATE D&C RED NO. 33 D&C YELLOW NO. 10 FD&C BLUE NO. 1 FD&C RED NO. 40 FD&C YELLOW NO. 6 GELATIN GLYCERIN EGG PHOSPHOLIPIDS MEDIUM-CHAIN TRIGLYCERIDES POLYETHYLENE GLYCOL, UNSPECIFIED PROPYLENE GLYCOL WATER SORBITAN SORBITOL TITANIUM DIOXIDE P10;S78;SCU2']",['ORAL'],['STOOL SOFTENER'],['DOCUSATE SODIUM'],2018-10-26,2018,1
20200511,['INSTANT HAND SANITIZER INSTANT HAND SANITIZER GLYCERIN WATER TROLAMINE POLYACRYLIC ACID (8000 MW) ALCOHOL ALCOHOL YANGZHI'],['INSTANT HAND SANITIZER INSTANT HAND SANITIZER GLYCERIN WATER TROLAMINE POLYACRYLIC ACID (8000 MW) ALCOHOL ALCOHOL YANGZHI'],['TOPICAL'],['INSTANT HAND SANITIZER'],['ALCOHOL'],2020-05-11,2020,1
20200512,['Alcohol Antiseptic 80 ALCOHOL GLYCERIN HYDROGEN PEROXIDE WATER ALCOHOL ALCOHOL'],['Alcohol Antiseptic 80 ALCOHOL GLYCERIN HYDROGEN PEROXIDE WATER ALCOHOL ALCOHOL'],['TOPICAL'],['Alcohol Antiseptic 80'],['ALCOHOL'],2020-05-12,2020,1
20200512,"['365 Everyday Value Be Well Cough Ease for Kids ANTIMONY POTASSIUM TARTRATE, BRYONIA ALBA ROOT, PROTORTONIA CACTI, DROSERA ROTUNDIFOLIA, IPECAC, PULSATILLA VULGARIS, RUMEX CRISPUS ROOT, PONGIA OFFICINALIS SKELETON, ROASTED, LOBARIA PULMONARIA HONEY SUCROSE WATER CITRIC ACID MONOHYDRATE SODIUM BENZOATE BRYONIA ALBA ROOT BRYONIA ALBA ROOT PROTORTONIA CACTI PROTORTONIA CACTI DROSERA ROTUNDIFOLIA DROSERA ROTUNDIFOLIA IPECAC IPECAC PULSATILLA VULGARIS PULSATILLA VULGARIS RUMEX CRISPUS ROOT RUMEX CRISPUS ROOT SPONGIA OFFICINALIS SKELETON, ROASTED SPONGIA OFFICINALIS SKELETON, ROASTED LOBARIA PULMONARIA LOBARIA PULMONARIA ANTIMONY POTASSIUM TARTRATE ANTIMONY CATION (3+) Honey']","['365 Everyday Value Be Well Cough Ease for Kids ANTIMONY POTASSIUM TARTRATE, BRYONIA ALBA ROOT, PROTORTONIA CACTI, DROSERA ROTUNDIFOLIA, IPECAC, PULSATILLA VULGARIS, RUMEX CRISPUS ROOT, PONGIA OFFICINALIS SKELETON, ROASTED, LOBARIA PULMONARIA HONEY SUCROSE WATER CITRIC ACID MONOHYDRATE SODIUM BENZOATE BRYONIA ALBA ROOT BRYONIA ALBA ROOT PROTORTONIA CACTI PROTORTONIA CACTI DROSERA ROTUNDIFOLIA DROSERA ROTUNDIFOLIA IPECAC IPECAC PULSATILLA VULGARIS PULSATILLA VULGARIS RUMEX CRISPUS ROOT RUMEX CRISPUS ROOT SPONGIA OFFICINALIS SKELETON, ROASTED SPONGIA OFFICINALIS SKELETON, ROASTED LOBARIA PULMONARIA LOBARIA PULMONARIA ANTIMONY POTASSIUM TARTRATE ANTIMONY CATION (3+) Honey']",['ORAL'],['365 Everyday Value Be Well Cough Ease for Kids'],"['BRYONIA ALBA ROOT', 'PROTORTONIA CACTI', 'DROSERA ROTUNDIFOLIA', 'IPECAC', 'PULSATILLA VULGARIS', 'RUMEX CRISPUS ROOT', 'SPONGIA OFFICINALIS SKELETON, ROASTED', 'LOBARIA PULMONARIA', 'ANTIMONY POTASSIUM TARTRATE']",2020-05-12,2020,9
20190725,['Stomach Relief Ultra Bismuth subsalicylate BISMUTH SUBSALICYLATE BISMUTH CATION SALICYLIC ACID BENZOIC ACID D&C RED NO. 22 D&C RED NO. 28 MAGNESIUM ALUMINUM SILICATE WATER SACCHARIN SODIUM SALICYLIC ACID SODIUM SALICYLATE SORBIC ACID METHYLCELLULOSE (1500 CPS)'],['Stomach Relief Ultra Bismuth subsalicylate BISMUTH SUBSALICYLATE BISMUTH CATION SALICYLIC ACID BENZOIC ACID D&C RED NO. 22 D&C RED NO. 28 MAGNESIUM ALUMINUM SILICATE WATER SACCHARIN SODIUM SALICYLIC ACID SODIUM SALICYLATE SORBIC ACID METHYLCELLULOSE (1500 CPS)'],['ORAL'],['Stomach Relief Ultra'],['BISMUTH SUBSALICYLATE'],2019-07-25,2019,1
