effective_time,spl_product_data_elements,active_ingredient,brand_name,substance_name,Time,Year,num_substance
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
4,4,4,4,4,4,4,4
2,2,2,2,2,2,2,2
5,5,5,5,5,5,5,5
50,50,50,50,50,50,50,50
1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
11,11,11,11,11,11,11,11
4,4,4,4,4,4,4,4
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
6,6,6,6,6,6,6,6
28,28,28,28,28,28,28,28
3,3,3,3,3,3,3,3
11,11,11,11,11,11,11,11
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
9,9,9,9,9,9,9,9
95,95,95,95,95,95,95,95
3,3,3,3,3,3,3,3
21,21,21,21,21,21,21,21
1,1,1,1,1,1,1,1
42,42,42,42,42,42,42,42
7,7,7,7,7,7,7,7
1741,1741,1741,1741,1740,1741,1741,1741
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
8,8,8,8,8,8,8,8
46,46,46,46,46,46,46,46
16,16,16,16,15,16,16,16
14,14,14,14,14,14,14,14
1315,1315,1315,1315,1307,1315,1315,1315
11,11,11,11,11,11,11,11
6,6,6,6,6,6,6,6
